Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 2, 0.000006
TimSort, OpenMP, 2, 2, 0.001004
TimSort, OpenMP, 4, 2, 0.001755
TimSort, OpenMP, 8, 2, 0.011228
TimSort, OpenMP, 16, 2, 0.010555
TimSort, OpenMP, 32, 2, 0.016132
TimSort, OpenMP, 64, 2, 0.041772
TimSort, OpenMP, 128, 2, 0.097971
TimSort, OpenMP, 256, 2, 0.176761
TimSort, OpenMP, 512, 2, 0.496855
Bitonic Sort, OpenMP, 1, 2, 0.000005
Bitonic Sort, OpenMP, 2, 2, 0.004167
Bitonic Sort, OpenMP, 4, 2, 0.087963
Bitonic Sort, OpenMP, 8, 2, 0.029951
Bitonic Sort, OpenMP, 16, 2, 0.020265
Bitonic Sort, OpenMP, 32, 2, 0.020062
Bitonic Sort, OpenMP, 64, 2, 0.084203
Bitonic Sort, OpenMP, 128, 2, 0.153934
Bitonic Sort, OpenMP, 256, 2, 0.184975
Bitonic Sort, OpenMP, 512, 2, 0.409303
MergeSort, OpenMP, 1, 2, 0.000009
MergeSort, OpenMP, 2, 2, 0.003804
MergeSort, OpenMP, 4, 2, 0.121962
MergeSort, OpenMP, 8, 2, 0.015596
MergeSort, OpenMP, 16, 2, 0.011429
MergeSort, OpenMP, 32, 2, 0.026988
MergeSort, OpenMP, 64, 2, 0.060808
MergeSort, OpenMP, 128, 2, 0.062919
MergeSort, OpenMP, 256, 2, 0.234120
MergeSort, OpenMP, 512, 2, 0.374101
QuickSort, OpenMP, 1, 2, 0.000007
QuickSort, OpenMP, 2, 2, 0.007744
QuickSort, OpenMP, 4, 2, 0.082200
QuickSort, OpenMP, 8, 2, 0.017038
QuickSort, OpenMP, 16, 2, 0.013460
QuickSort, OpenMP, 32, 2, 0.012608
QuickSort, OpenMP, 64, 2, 0.034707
QuickSort, OpenMP, 128, 2, 0.080625
QuickSort, OpenMP, 256, 2, 0.180095
QuickSort, OpenMP, 512, 2, 0.434520
Sample Sort, OpenMP, 1, 2, 0.000001
Sample Sort, OpenMP, 2, 2, 0.000000
Sample Sort, OpenMP, 4, 2, 0.000000
Sample Sort, OpenMP, 8, 2, 0.000000
Sample Sort, OpenMP, 16, 2, 0.000000
Sample Sort, OpenMP, 32, 2, 0.000000
Sample Sort, OpenMP, 64, 2, 0.000000
Sample Sort, OpenMP, 128, 2, 0.000000
Sample Sort, OpenMP, 256, 2, 0.000000
Sample Sort, OpenMP, 512, 2, 0.000000
TimSort, OpenMP, 1, 2, 0.000008
TimSort, OpenMP, 2, 2, 0.002748
TimSort, OpenMP, 4, 2, 0.063039
TimSort, OpenMP, 8, 2, 0.022486
TimSort, OpenMP, 16, 2, 0.026775
TimSort, OpenMP, 32, 2, 0.029661
TimSort, OpenMP, 64, 2, 0.055576
TimSort, OpenMP, 128, 2, 0.069151
TimSort, OpenMP, 256, 2, 0.157778
TimSort, OpenMP, 512, 2, 0.391384
Bitonic Sort, OpenMP, 1, 2, 0.000008
Bitonic Sort, OpenMP, 2, 2, 0.006692
Bitonic Sort, OpenMP, 4, 2, 0.095606
Bitonic Sort, OpenMP, 8, 2, 0.009234
Bitonic Sort, OpenMP, 16, 2, 0.009014
Bitonic Sort, OpenMP, 32, 2, 0.018506
Bitonic Sort, OpenMP, 64, 2, 0.051354
Bitonic Sort, OpenMP, 128, 2, 0.086661
Bitonic Sort, OpenMP, 256, 2, 0.182897
Bitonic Sort, OpenMP, 512, 2, 0.379961
MergeSort, OpenMP, 1, 2, 0.000010
MergeSort, OpenMP, 2, 2, 0.003131
MergeSort, OpenMP, 4, 2, 0.106483
MergeSort, OpenMP, 8, 2, 0.018408
MergeSort, OpenMP, 16, 2, 0.014715
MergeSort, OpenMP, 32, 2, 0.018993
MergeSort, OpenMP, 64, 2, 0.044008
MergeSort, OpenMP, 128, 2, 0.075962
MergeSort, OpenMP, 256, 2, 0.209797
MergeSort, OpenMP, 512, 2, 0.704945
