Algorithm,Implementation,Thread Count,Elements,Time
QuickSort, OpenMP, 16, 16, 0.001932
QuickSort, OpenMP, 32, 16, 0.008694
Sample Sort, OpenMP, 1, 16, 0.000001
Sample Sort, OpenMP, 2, 16, 0.000001
Sample Sort, OpenMP, 4, 16, 0.000001
Sample Sort, OpenMP, 8, 16, 0.000001
Sample Sort, OpenMP, 16, 16, 0.000001
Sample Sort, OpenMP, 32, 16, 0.000001
TimSort, OpenMP, 1, 32, 0.000004
TimSort, OpenMP, 2, 32, 0.000262
TimSort, OpenMP, 4, 32, 0.004871
TimSort, OpenMP, 8, 32, 0.003558
TimSort, OpenMP, 16, 32, 0.004730
TimSort, OpenMP, 32, 32, 0.005245
Bitonic Sort, OpenMP, 1, 32, 0.000018
Bitonic Sort, OpenMP, 2, 32, 0.000317
Bitonic Sort, OpenMP, 4, 32, 0.005815
Bitonic Sort, OpenMP, 8, 32, 0.006160
Bitonic Sort, OpenMP, 16, 32, 0.009349
Bitonic Sort, OpenMP, 32, 32, 0.006716
MergeSort, OpenMP, 1, 32, 0.000022
MergeSort, OpenMP, 2, 32, 0.000530
MergeSort, OpenMP, 4, 32, 0.005373
MergeSort, OpenMP, 8, 32, 0.003648
MergeSort, OpenMP, 16, 32, 0.006068
MergeSort, OpenMP, 32, 32, 0.005949
QuickSort, OpenMP, 1, 32, 0.000016
QuickSort, OpenMP, 2, 32, 0.000336
QuickSort, OpenMP, 4, 32, 0.003866
QuickSort, OpenMP, 8, 32, 0.004141
QuickSort, OpenMP, 16, 32, 0.015043
QuickSort, OpenMP, 32, 32, 0.025057
Sample Sort, OpenMP, 1, 32, 0.000002
Sample Sort, OpenMP, 2, 32, 0.000002
Sample Sort, OpenMP, 4, 32, 0.000002
Sample Sort, OpenMP, 8, 32, 0.000001
Sample Sort, OpenMP, 16, 32, 0.000015
Sample Sort, OpenMP, 32, 32, 0.000001
TimSort, OpenMP, 1, 64, 0.000006
TimSort, OpenMP, 2, 64, 0.000505
TimSort, OpenMP, 4, 64, 0.015941
TimSort, OpenMP, 8, 64, 0.010442
TimSort, OpenMP, 16, 64, 0.004703
TimSort, OpenMP, 32, 64, 0.020230
Bitonic Sort, OpenMP, 1, 64, 0.000055
Bitonic Sort, OpenMP, 2, 64, 0.000387
Bitonic Sort, OpenMP, 4, 64, 0.004970
Bitonic Sort, OpenMP, 8, 64, 0.003886
Bitonic Sort, OpenMP, 16, 64, 0.005472
Bitonic Sort, OpenMP, 32, 64, 0.005533
MergeSort, OpenMP, 1, 64, 0.000032
MergeSort, OpenMP, 2, 64, 0.000387
