Algorithm,Implementation,Thread Count,Elements,Time
Bitonic Sort, OpenMP, 32, 1048576, 0.397214
MergeSort, OpenMP, 1, 1048576, 0.241734
MergeSort, OpenMP, 2, 1048576, 0.148314
MergeSort, OpenMP, 3, 1048576, 0.144121
MergeSort, OpenMP, 4, 1048576, 0.107304
MergeSort, OpenMP, 5, 1048576, 0.099836
MergeSort, OpenMP, 6, 1048576, 0.101392
MergeSort, OpenMP, 7, 1048576, 0.085908
MergeSort, OpenMP, 8, 1048576, 0.087956
MergeSort, OpenMP, 16, 1048576, 0.093239
MergeSort, OpenMP, 32, 1048576, 0.082924
QuickSort, OpenMP, 1, 1048576, 0.511138
QuickSort, OpenMP, 2, 1048576, 0.421567
QuickSort, OpenMP, 3, 1048576, 0.351707
QuickSort, OpenMP, 4, 1048576, 0.398110
QuickSort, OpenMP, 5, 1048576, 0.439731
QuickSort, OpenMP, 6, 1048576, 0.455721
QuickSort, OpenMP, 7, 1048576, 0.441473
QuickSort, OpenMP, 8, 1048576, 0.446568
QuickSort, OpenMP, 16, 1048576, 0.488007
QuickSort, OpenMP, 32, 1048576, 0.466975
Sample Sort, OpenMP, 1, 1048576, 0.293267
Sample Sort, OpenMP, 2, 1048576, 0.288113
Sample Sort, OpenMP, 3, 1048576, 0.321585
Sample Sort, OpenMP, 4, 1048576, 0.300937
Sample Sort, OpenMP, 5, 1048576, 0.212049
Sample Sort, OpenMP, 6, 1048576, 0.256641
Sample Sort, OpenMP, 7, 1048576, 0.253535
Sample Sort, OpenMP, 8, 1048576, 0.312102
Sample Sort, OpenMP, 16, 1048576, 0.205999
Sample Sort, OpenMP, 32, 1048576, 0.210156
TimSort, OpenMP, 1, 1048576, 0.182926
TimSort, OpenMP, 2, 1048576, 0.110979
TimSort, OpenMP, 3, 1048576, 0.099996
TimSort, OpenMP, 4, 1048576, 0.078534
TimSort, OpenMP, 5, 1048576, 0.084177
TimSort, OpenMP, 6, 1048576, 0.072453
TimSort, OpenMP, 7, 1048576, 0.069345
TimSort, OpenMP, 8, 1048576, 0.069717
TimSort, OpenMP, 16, 1048576, 0.078094
TimSort, OpenMP, 32, 1048576, 0.084372
Bitonic Sort, OpenMP, 1, 1048576, 1.251450
Bitonic Sort, OpenMP, 2, 1048576, 0.664604
Bitonic Sort, OpenMP, 3, 1048576, 0.661608
Bitonic Sort, OpenMP, 4, 1048576, 0.617474
Bitonic Sort, OpenMP, 5, 1048576, 0.617548
